REFERENCE                                                              | COUNT
Grice, P. (1957). “Meaning”. Philosophical Review 66 (3):377-388. | 4
Campbell, D. T. (1960). “Blind variation and selective retention in creative thought as in other knowledge processes”. Psychological Review, 67, 380-400. | 4
Barthes, R. (1971). “From Work to Text”. Image—Music—Text. Hill and Wang: New York. 1977. | 4
Davidson, D. (1970). “Mental events”. Essays on actions and events (pp. 207-225). Oxford: Clarendon Press. | 4
Preston, J. (n.d.). “Paul Feyerabend”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/feyerabend/ | 4
Felluga, D. F. (2015). Critical theory: The key concepts. Routledge. | 4
Putnam, H. (1981). Reason, Truth and History. Cambridge University Press. | 4
Lewontin, R. (1991). Biology as Ideology: The Doctrine of DNA. Harper Perennial. | 4
Frankfurt, H. G. (2015). On Equality. Princeton, NJ: Princeton University Press. | 4
Thomson, J. (1976). “Killing, letting die, and the trolley problem”. The Monist, 59(2), 204-217. | 4
Rorty, R. (1982). “Contemporary philosophy of mind”. Synthese 53 (November):323-48. | 4
Rives, B. (n.d.). “Jerry A. Fodor”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/fodor/ | 4
Hull, D. (2001). Science and selection: Essays on biological evolution and the philosophy of science. Cambridge University Press. | 4
Monton, B. & Chad, M. (n.d.). “Constructive Empiricism”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/constructive-empiricism/ | 4
Dennett, D. (1991). Consciousness Explained. Little, Brown & Company. | 4
Hofstadter, D. (1979). Gödel, Escher, Bach: An Eternal Golden Braid. Basic Books. | 4
Block, N. (1995). “On a confusion about a function of consciousness”. Brain and Behavioral Sciences 18 (2):227–247. | 4
Haack, S. (2011). Defending Science – Within Reason: Between Scientism and Cynicism. Prometheus Books. | 4
Varela, F. J., Thompson, E., & Rosch, E. (1991). The Embodied Mind: Cognitive Science and Human Experience. Cambridge: MIT Press. | 4
Nussbaum, M. (2001). Upheavals of thought: The intelligence of emotions. Cambridge, UK: Cambridge University Press. | 4
Strawson, G. (1994). “The impossibility of moral responsibility”. Philosophical Studies 75 (1-2):5-24. | 4
Clark, A., & Chalmers, D. (1998). “The extended mind”. Analysis, 58(1). | 4
Magee, B. (1998). The Story of Philosophy. DK Pub.; Plato. Phaedo. | 3
Aristotle. On Interpretation. | 3
Priest, G. (2017). “Eubulides and his paradoxes”. https://blog.oup.com/2017/08/eubulides-paradoxes-philosophy/ | 3
Encyclopaedia Britannica. (n.d.). “Francis Hutcheson”. https://www.britannica.com/biography/Francis-Hutcheson | 3
Gracyk, T. (n.d.). “Hume’s Aesthetics”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/hume-aesthetics/ | 3
Rousseau, J.-J. (1754). Discourse on the Origin of Inequality. Translated by G. D. H. Cole. London and Toronto: J.M. Dent and Sons. 1923. | 3
Schopenhauer, A. (1851). “On Women”. Parerga und Paralipomena. | 3
Marx, K. (1867). Capital: A Critique of Political Economy. | 3
Brentano, F. (1874). Psychology from an Empirical Standpoint. Trans. L. McAlister, A. Rancurello, and D. B. Terrell. London: Routledge and Kegan Paul. 1973, 1995. | 3
Peirce, C. S. (1903). The Collected Papers of Charles S. Peirce, 8 vols., C. Hartshorne, P. Weiss, and A. W. Burks (eds.). Cambridge: Harvard University Press. 1931–1966. | 3
Peirce, C.S. (1867). “On a New List of Categories”. Proceedings of the American Academy of Arts and Sciences, 7, pp. 287-298. | 3
Nietzsche, F. (1873). “On Truth and Lies in a Nonmoral Sense”. | 3
Frege, G. (1892). “On sense and reference”. | 3
Poincaré, H. (1905). Science and Hypothesis. Dover reprint of 1905 translation. | 3
Smith, J. (n.d.). “Phenomenology”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/phenom/ | 3
Beyer, C. (n.d.). “Edmund Husserl”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/husserl/ | 3
Nath, R. (n.d.). “Bertrand Russell: Ethics”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/russ-eth/ | 3
Irvine, A. D. (n.d.). “Bertrand Russell”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/russell/ | 3
Wittgenstein, L. (1953). Philosophical Investigations. Oxford: Blackwell. | 3
Schroeder, S. (2017). “Wittgenstein and his legacy”. In Amy Kind (ed.), Philosophy of Mind in the Twentieth and Twenty-First Centuries: The History of the Philosophy of Mind, Volume 6. New York: Routledge. | 3
Heidegger, M. (1927). Being and Time. Translated by John Macquarrie & Edward Robinson. Blackwell Publishers. 1962.; Yoshimi, J. Unpublished lecture notes on Heidegger. | 3
Heidegger, M. (1950). “The Age of the World Picture” in Off the Beaten Track. Edited & Translated by Julian Young & Kenneth Haynes. Blackwell Publishers. 2002. | 3
Popper, K. (1968). “Epistemology Without a Knowing Subject”. Third International Congress for Logic, Methodology and Philosophy of Science, 25 August 1967. Amsterdam. | 3
Sharpe, M. (n.d.). “Jacques Lacan”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/lacweb/ | 3
Foot, P. (1967). “The Problem of Abortion and the Doctrine of Double Effect”, Oxford Review, 5: 5–15. | 3
Danto, A. C. (1981). The transfiguration of the commonplace: A philosophy of art. Harvard University Press. | 3
Thomson, J. (1971). “A defense of abortion”. Philosophy and Public Affairs, 1(1), 47-66. | 3
Feser, E. (n.d.). “Robert Nozick”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/nozick/ | 3
Jackson, F. (2020). “The Theory–Theory Approach to Ethics”. A. Burgess, H. Cappelen, & D. Plunkett (Eds.), Conceptual Engineering and Conceptual Ethics. Oxford University Press. | 3
Ramsey, W. (n.d.). “Eliminative Materialism”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/materialism-eliminative/ | 3
Bickle, J., Mandik, P., & Landreth, A. (n.d.). “The Philosophy of Neuroscience”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/neuroscience/ | 3
Churchland, P. (2019). Conscience: The Origins of Moral Intuition. W. W. Norton & Company. | 3
Haack, S. (1993). “Double-aspect foundherentism: A new theory of empirical justification”. Philosophy and Phenomenological Research 53 (1):113-128. | 3
Singer, P. (1993). Practical Ethics. Second Edition. Cambridge University Press. | 3
Ladyman, J. (n.d.). “Structural Realism”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/structural-realism/ | 3
Graham, D. W. (n.d.). “Heraclitus”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/heraclitus/ | 2
Poster, C. (n.d.). “Protagoras”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/protagor/ | 2
Aristotle. Physics. | 2
O’Keefe, T. (n.d.). “Aristippus”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/aristip/ | 2
Plato. Phaedo. | 2
Plato. The Republic. | 2
Aristotle. Politics. | 2
Aristotle. Poetics. | 2
Laërtius, D. (3rd century BCE). Lives of Eminent Philosophers. | 2
Cicero. (45 BCE). On the Nature of the Gods. | 2
Cicero. (45 BCE). Tusculan Disputations.; Laërtius, D. (3rd century BCE). Lives of Eminent Philosophers. | 2
Magee, B. (1998). The Story of Philosophy. DK Pub.; Augustine. (397-400). Confessions. | 2
Augustine. (426). The City of God. | 2
Augustine. (388–395). On the Free Choice of the Will, on Grace and Free Choice, and Other Writings. King, Peter (ed.) Cambridge University Press. 2010. | 2
St. Anselm. (1078). Proslogium. | 2
Descartes, R. (1639). Meditations on First Philosophy. | 2
Pascal, B. (1669). Pensées. AJ Krailsheimer, trans. New York: Penguin Books. 1995. | 2
Grey, J. (n.d.). “Benedict De Spinoza: Moral Philosophy”. The Internet Encyclopedia of Philosophy. http://iep.utm.edu/spin-mor/ | 2
Spinoza, B. (1677). Ethics.; Spinoza, B. (1670). Tractatus Theologico-Politicus. | 2
Locke, J. (1689). Second Treatise of Government. | 2
Hutcheson, F. (1725). An Inquiry into the Original of our Ideas of Beauty and Virtue. | 2
Hutcheson, F. (1755). A System of Moral Philosophy. | 2
Magee, B. (1998). The Story of Philosophy. DK Pub.; Hume, D. (1748). An Enquiry Concerning Human Understanding. | 2
Reid, T. (1785). Essays on the Intellectual Powers of Man. | 2
Smith, J. (n.d.). “Self-Consciousness”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/self-consciousness/ | 2
Kant, I. (1785). Groundwork of the Metaphysics of Morals. | 2
Kant, I. (1790). Critique of Judgment. (J. M. Bernard, Trans.) New York, NY: Hafuer Publishing Company. 1951. | 2
Maybee, J. E. (n.d.). “Hegel’s dialectics”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/hegel-dialectics/ | 2
Heydt, C. (n.d.). “John Stuart Mill”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/milljs/ | 2
Macleod, C. (n.d.). “John Stuart Mill”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/mill/ | 2
Mill, J. S. (1843). A system of logic. John W. Parker. | 2
Darwin, C. (1871). The Descent of Man. John Murray. | 2
Marx, K. (1845). Theses On Feuerbach. | 2
Marx, K. (1844). Economic and Philosophical Manuscripts. | 2
Peirce, C.S. (1878). “How to Make Our Ideas Clear”, Popular Science Monthly, 12(January): 286–302. | 2
James, W. (1890). The Principles of Psychology. Cambridge, MA: Harvard University Press. 1981. | 2
Kusch, M. (n.d.). “Psychologism”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/psychologism/ | 2
Bell, C. (1914). Art. Chatto & Windus. | 2
Hurka, T. (n.d.). “Moore’s Moral Philosophy”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/moore-moral/ | 2
Russell, B. (1912). The problems of philosophy. Home University Library. | 2
Ramsey, F. (1991). “The Nature of Truth”. N. Rescher & U. Majer (Eds.), On Truth: Original Manuscript Materials (1927-1929) from the Ramsey Collection at the University of Pittsburgh. Dordrecht: Kluwer Academic Publishers. | 2
Heidegger, M. (1950). “Nietzsche’s Word: ‘God Is Dead’” in Off the Beaten Track. Edited & Translated by Julian Young & Kenneth Haynes. Blackwell Publishers. 2002. | 2
Carnap, R. (1934). The Logical Syntax of Language. London: Routledge. 1937. | 2
Carnap, R. (1936). “Testability and Meaning”. Philosophy of Science, 3(4), 419-471. | 2
Stebbing, S. (1933). “Logical positivism and analysis”. Proceedings of the British Academy, 19, 53-87. | 2
O’Neill, D., & Wayne, M. (2018). “On intellectuals”. D. O’Neill & M. Wayne (Eds.), Considering class, theory, culture and the media in the 21st century. Leiden/Boston: Brill. | 2
Woodward, J. (n.d.). “Scientific explanation”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/scientific-explanation/ | 2
Ryle, G. (1949). The Concept of Mind. Chicago: University of Chicago Press. | 2
