Thales|Everything is water in one form or another.
Alfred Jules Ayer|Statements of (ethical or aesthetic) value have no factual meaning; they only evince ‘emotive’ dis/approval.
Alfred Jules Ayer|Ethical terms do not serve only to express feeling but also to arouse feeling, and so to stimulate action, even to command.
Alfred Jules Ayer|The purpose of aesthetic criticism is not so much to give knowledge as to communicate emotion and make us share the critic’s attitude towards the work.
Alfred Jules Ayer|‘Basic propositions’ that refer solely to the content of a single experience can be verified conclusively by the occurrence of that experience.
John Langshaw Austin|Ordinary language embodies the inherited experience and acumen of many generations; it is not the last word, but it is the first word.
John Langshaw Austin|For the objects of perception, the reality-appearance duality is misconceived; the term ‘real’ has many different uses.
John Langshaw Austin|The application of the positive term (reality, freedom, etc.) depends on its negative term, which is itself contextual.
John Langshaw Austin|The search for absolute certainty is both fruitless and unwanted.
John Langshaw Austin|Because a belief is about something, its truth is independent of the fact that it is believed; it must be possible for the thinker to be mistaken.
John Langshaw Austin|What is evidence for what is always contextual; there is no limit to the kinds of evidence that might turn out to be relevant.
John Langshaw Austin|There can’t be a theory providing an abstract recipe for the totality of evidence for a particular claim.
John Langshaw Austin|In sceptical arguments we should locate our doubts only in specific contexts of inquiry.
John Langshaw Austin|Utterances are not always descriptions (‘constatives’); they can be ‘performatives’ in which we do things with words (promises, threats, etc.).
John Langshaw Austin|Three types of speech act: locutionary (what I say), illocutionary (what I do in saying that), perlocutionary (what effect it has on the listener).
John Langshaw Austin|Claims to knowledge (“I know that S is P”) can also be performatives where we give others our authority (for saying that S is P).
Ernst Gombrich|Representation, unlike resemblance, involves manipulating signs that will be recognized as standing for particular things.
Ernst Gombrich|The innocent eye is a myth, seeing is never just registering: all thinking is sorting, classifying, and all perceiving relates to expectations and comparisons.
Ernst Gombrich|Pictorial realism is not just the faithful copying from an art-independent reality; it involves illusions using conventional perceptual ‘schemata’.
Ernst Gombrich|Artists cannot escape from the stylistic and pictorial conventions of their cultural background, but they can modify them.
Ernst Gombrich|The artistic process of first making and then matching and remaking (trial and error) is much like how science works.
Ernst Gombrich|The viewer’s practised perception is taken into account during the creative process, so that they can interpret the conventional signs.
Ernst Gombrich|Visual experience is not entirely determined by cultural conventions: it is organized according to the laws of optics and perspective.
Nelson Goodman|Judgments about qualia are decrees; which ones are accepted is a matter of the overall coherence of my system of beliefs and my other qualia judgments.
Nelson Goodman|Two terms have the same meaning iff they have the same primary and secondary extensions (the extension of its compounds, like “P-picture”).
Nelson Goodman|P-descriptions that are not Q-descriptions (“is a P but not a Q”) are easy to construct for any P and Q; strict synonymy is impossible.
Nelson Goodman|Synonymy and analyticity are matters of degree, depending on how uninteresting the constructs that make a difference in secondary extension are.
Nelson Goodman|Positional predicates (with definitions referring to place/time constants) can generate mutually incompatible predictions, all confirmed by the past evidence.
Nelson Goodman|The positionality of a predicate is relative to a language; there is no semantic or syntactic criterion to choose predicates suitable for induction.
Nelson Goodman|The choice of predicates is a matter of ‘entrenchment’ – of what language we use and have used to describe the behaviour of our world.
Nelson Goodman|Instances of intuitive inferences and the rules of inference are slowly adjusted to justify each other in a process of reflective equilibrium.
Nelson Goodman|A hypothesis is ‘projectible’ (suitable for induction) iff it is supported, unviolated, and unexhausted, and all hypotheses conflicting with it are overridden.
Nelson Goodman|Counterfactual conditionals are a particular variety of strict conditional (restricting attention to those possibilities where all facts ‘co-tenable’ with p are true).
Nelson Goodman|There are conflicting truths that cannot be accommodated in a single world version: we need many worlds to accommodate the conflicting versions.
Nelson Goodman|Worlds are made by answering to right versions (with entrenchment, simplicity, usefulness, etc.); there are no worlds that correspond to false/possible versions.
Nelson Goodman|A Reality underlying the worlds must be fully neutral, and thus serves no purpose; it would have no spacetime, no relations, no structure at all.
Nelson Goodman|The world versions suffice, and are really the only things that are directly accessible; the versions can for many purposes be treated as worlds.
Nelson Goodman|There is no sharp division between art, science, and philosophy: they all use symbol systems to perceive and understand the world, to construct worlds.
Nelson Goodman|There are logical differences between representation and resemblance; e.g. two chairs resemble, but do not represent, one another.
Nelson Goodman|Aesthetics is a branch of epistemology; artworks are made of symbols and require interpretation to understand what they refer to, in which ways and systems.
Nelson Goodman|Denotation (labeling) and exemplification (referring back to the label, like a color swatch) are the two fundamental forms of symbolization in art.
Nelson Goodman|A non-representational work of art expresses something when it metaphorically exemplifies it, by calling attention to some of its features.
Nelson Goodman|Since to be a work of art is to perform certain referential functions, the question “What is art?” should be replaced with the question “When is art?”.
Nelson Goodman|A work of art is ‘autographic’ iff the distinction between original and forgery of it is significant; iff even a perfect duplication does not count as genuine.
Nelson Goodman|A work of art is ‘allographic’ iff it allows for instantiations of the work that are independent of the work’s history of production.
Nelson Goodman|Representational painting lacks the notational features of languages (and allographic arts) that make repetition possible; it is not a language.
Nelson Goodman|When we know we are looking at an original painting and its perfect copy, there is an aesthetic difference as the awareness modifies our perception.
Nelson Goodman|There is no innocent eye, how and what it sees is regulated by need and prejudice; it selects, rejects, organizes, associates, classifies, analyzes, constructs.
Nelson Goodman|Pictures can denote things because we have learned the visual conventions (including perspective), not just because they resemble those things.
Willard Van Orman Quine|There are red things and meaningful utterances but there may not be additional entities named “redness” or “meaning”.
Willard Van Orman Quine|The two useful ways in which people talk about meanings – significance and synonymy – could be defined in terms of behavior.
Willard Van Orman Quine|Necessity depends on our ways of referring to things; it is not a trait of things themselves.
Willard Van Orman Quine|Ontological controversy tends into controversy over language, but we must not jump to the conclusion that what there is depends on words.
Willard Van Orman Quine|There is no way to define analyticity without an appeal to synonymy (or semantical rules) defined analytically; it’s a vicious circle.
Willard Van Orman Quine|A boundary between analytic and synthetic statements cannot be drawn; truth depends both on language and on extra-linguistic fact.
Willard Van Orman Quine|Our whole knowledge is a network which impinges on experience only along the edges; centrally located statements (e.g. logic, physics) are more resistant.
Willard Van Orman Quine|There are no principled limits to the range of evidence for a statement; evidence and understanding are holistic.
Willard Van Orman Quine|Nothing, including putative conceptual truths, logic, and mathematics, is immune from revision in the light of experience.
Willard Van Orman Quine|Even the truths of elementary number theory are presumably not in general derivable by self-evident steps from self-evident truths.
Willard Van Orman Quine|Science as a whole network has its double dependence upon language and experience; this duality is not traceable into single statements.
Willard Van Orman Quine|In point of epistemological footing the physical objects and the gods differ only in degree and not in kind; they are both convenient myths.
Willard Van Orman Quine|The myth of physical objects is epistemologically superior to most in that it has proved more efficacious than other myths.
Willard Van Orman Quine|The indispensability of mathematics to empirical science gives us good reason to believe in the existence of mathematical entities.
Willard Van Orman Quine|Epistemology should be naturalized, by studying empirically (psychologically) how people transform sensory input into theoretical output.
Willard Van Orman Quine|There is redundancy in our belief networks, so we can question and change one part without compromising all the rest.
Willard Van Orman Quine|Translation between languages is underdetermined: there are multiple equally good translations.
Willard Van Orman Quine|Indeterminacy of translation implies indeterminacy of communication, even of thinking.
Willard Van Orman Quine|When the deviant logician tries to deny the doctrine, they only change the subject; a change of logic entails a change of meaning.
Willard Van Orman Quine|You can bathe in the same river twice, but not in the same river ‘stage’; ostension, identification, and induction convey spatio-temporal spread.
William Frankena|External moral requirements are ‘justifying’ reasons for action, different from internal ‘motivating’ reasons.
William Frankena|The morality of duty and principles and the morality of virtues are not rivals, but two complementary aspects of the same morality.
Clement Greenberg|The essence of art coincides with all that is unique in the nature of its medium; effects that might belong to other mediums must be eliminated.
Clement Greenberg|It has been in search of the absolute that the avant-garde has arrived at abstract art; it is an imperative that comes from history.
Clement Greenberg|The avant-garde (abstract) artist imitates God by creating something valid solely on its own terms: increate, independent of meanings, similars, or originals.
Clement Greenberg|Quality in art can be neither ascertained nor proved by logic or discourse; it depends on inspired, felt relations or proportions.
Clement Greenberg|Things that purport to be art do not function, do not exist, as art until they are experienced through taste.
Clement Greenberg|There is a consensus of taste; the best taste is that of the people who spend the most time and trouble on art.
Wilfrid Sellars|We should be stereoscopic with the ‘scientific image’ and the ‘manifest image’ of the world.
Wilfrid Sellars|The manifest image is the framework in which we first came to be aware of ourselves as persons.
Wilfrid Sellars|The conception of the physical world characteristic of the manifest image is incorrect insofar as it conflicts with the scientific image.
Wilfrid Sellars|Knowledge (justification) belongs within the ‘logical space of reasons’; it cannot be grounded in the bare facts of sense-experience. (‘The Myth of the Given’)
Wilfrid Sellars|Sense-experience (‘the Given’) cannot certify the authenticity of information but it can cause us to form reliable beliefs.
Wilfrid Sellars|The unobservables posited by a theory explain directly why observable entities behave the way they do and obey the empirical laws they do.
Wilfrid Sellars|Our concepts of sensory states and psychological states (hope, regret, desire, etc.) are like theoretical concepts in the sciences.
Wilfrid Sellars|We can use the analogy of brain states as sentence-like structures and translate them into our own language to assess them rationally.
Wilfrid Sellars|The aim of philosophy is to understand how things in the broadest possible sense of the term hang together in the broadest possible sense of the term.
Peter Strawson|The meaning of a referring expression and its referent in a particular context are separate things.
Peter Strawson|A sentence with a vacuous referring expression is meaningful, but is not a statement (true or false).
Peter Strawson|There is a distinction between the contextual presuppositions of a sentence and its logical implications.
Peter Strawson|Ascribing truth to a proposition is performative: the speaker is not characterizing the proposition itself but licensing our adoption of (the belief in) the proposition.
Peter Strawson|Sceptical doubts amount to the rejection of the whole conceptual scheme within which such doubt make sense.
Peter Strawson|To ask whether it is reasonable to rely on induction is like asking whether it is reasonable to proportion the degree of one’s convictions to the strength of the evidence.
Peter Strawson|Self-consciousness requires that there is a distinction between ourselves and others; thus, others really exist.
Peter Strawson|The basic structure of our conceptual scheme lies so deep in our thought and practice that its legitimation is neither possible nor necessary.
Peter Strawson|The primitive concept of a person allows us to see human life with physical and (irreducible) mental aspects without being dualistic.
Paul Grice|Meaning can be ‘natural’ (e.g. spots meaning measles) or ‘nonnatural’ (dependent on communicators’ intentions).
Paul Grice|When something has natural meaning, what it means cannot be false; when something has nonnatural meaning, what it means can be false.
Paul Grice|Not all things with meanings are signs (e.g. words are not), and some things with nonnatural meaning are not conventional (e.g. certain gestures).
Paul Grice|“A meant something by x” is roughly equivalent to “A uttered x with the intention of inducing a belief by means of the recognition of this intention”.
Paul Grice|“x means (nonnatural) (timeless) that so-and-so” might be equated with some statement about what “people” (vague) intend to effect by x.
Paul Grice|Intentions are transmitted perlocutionarily, by an effect produced by the speaker on the listener that is exterior to the functioning of linguistic conventions.
Paul Grice|The ‘conversational implicature’ of an utterance can be different from its strict meaning; it is central to humor, rudeness, etc.
Paul Grice|Two simultaneous experiences are had by the same person because they can be known by introspection to be simultaneous.
Donald Campbell|All knowledge claims go beyond their evidence, are highly presumptive and corrigible.
Donald Campbell|Knowledge needs to be explained using biological, psychological, sociological, historical knowledge; no first philosophy is required. (‘evolutionary epistemology’)
Donald Campbell|An ‘epistemology of the other one’ must deal with how organisms come to know, not how a first-person knower acquires knowledge.
Donald Campbell|There are different vehicles carrying knowledge, with different physical structures: genes, paper, electronic chips, etc.
Donald Campbell|There are different knowledge mechanisms: non-mnemonic problem solving, habit, instinct, cultural transmission, science, etc.
Donald Campbell|A blind-variation-and-selective-retention (BVSR) process is fundamental to all inductive achievements, to all genuine increases in knowledge.
Donald Campbell|The many processes (e.g. vision) which shortcut a more full BVSR process contain wisdom about the environment achieved originally by BVSR.
Donald Campbell|The shortcut processes contain in their own operation a BVSR process at some level (e.g. vision substituting for overt locomotor exploration).
Donald Campbell|Innovative thought is a BVSR process; “foresight” is a result, once the process has blindly stumbled into a thought trial that fits the selection criterion.
Donald Campbell|Biological systems are hierarchically structured, and there is ‘downward causation’ when a higher structure operates causally upon its substructure.
Monroe Beardsley|Aesthetics is meta-criticism; there would be no problems of aesthetics if no one ever talked about works of art.
Monroe Beardsley|In aesthetic experience, we attend to the regional qualities (color, pitch, etc.) and the formal unity (patterns or the organization of parts) of an object.
Monroe Beardsley|The detachedness of aesthetic experience blocks artworks’ referential characteristics from referring to anything outside of the experience.
Monroe Beardsley|A work of art is an arrangement of conditions intended to be capable of affording an experience with marked aesthetic character.
Monroe Beardsley|Aesthetic experience, and thus aesthetic objects, are instrumentally valuable, being productive of human welfare.
Monroe Beardsley|In aesthetic experience, the ‘presentation’ is one’s particular experience of a particular ‘performance’ of a particular ‘production’ of an ‘artifact’.
Monroe Beardsley|In painting and sculpture, the distinction between artifact and production almost disappears.
Monroe Beardsley|The aesthetic object, the primary object of critical attention, is the production.
Monroe Beardsley|External evidence – evidence from the psychological and social background of the object – is forbidden in art criticism.
Monroe Beardsley|A person’s affective responses to a work of art are irrelevant to its descriptive, interpretive, and evaluative properties.
Monroe Beardsley|The artist’s intentions are irrelevant to the descriptive, interpretive, and evaluative properties of the work.
Monroe Beardsley|What a sentence means depends not on the whim of the individual but upon conventions of usage; an author can be wrong about what their own work means.
Monroe Beardsley|What poets and other authors of literary works do is represent the performance of illocutionary acts, not perform the illocutionary acts themselves.
Morris Weitz|If we look at what we call “art”, we will find no common properties – only strands of similarities, “family resemblances”.
Morris Weitz|The expansive, adventurous, innovative character of art makes it logically impossible to insure any set of defining properties; art is an open concept.
Morris Weitz|Most literary works contain printed or suggested truth claims which are called upon to take as serious commentaries on life.
Morris Weitz|Sometimes truth is irrelevant to aesthetic assessment, but claims made in artworks can also be aesthetically relevant in some cases.
Roland Barthes|Myth is a second-order semiological system, a metalanguage: a sign (‘meaning’) in the first-order language becomes a signifier (‘form’) in the second.
Roland Barthes|Not only written discourse, but also photography, cinema, reporting, sport, shows, publicity, all these can serve as a support to mythical speech.
Roland Barthes|Myth hides nothing, its function is to steal and distort: it purifies things, it makes them innocent, it gives them a natural and eternal justification.
Roland Barthes|Myth in a bourgeois society is depoliticized speech: it suggests a world where bourgeois norms are experienced as the evident laws of a natural order.
Roland Barthes|There is one language which is not mythical: that of the oppressed, speaking in order to transform reality and not to preserve it as an image.
Roland Barthes|It is language which speaks, not the author; to write is to reach that point where only language acts, ‘performs’, and not ‘me’.
Roland Barthes|The Author is thought to exist before the book, thinking, suffering, living for it, like a parent; the modern scriptor is born simultaneously with the text.
Roland Barthes|A text does not have a single ‘theological’ meaning; it is a multi-dimensional space in which a variety of writings, none of them original, blend and clash.
Roland Barthes|The work closes on a signified (evident or interpreted); the Text practises the infinite deferment of the signified: its field is that of the signifier.
Roland Barthes|The work grows by ‘development’, like an organism; the Text is like a network and it can extend itself as a result of a combinatory systematic.
Roland Barthes|The ‘writerly’ text makes the reader no longer a passive consumer (like the classic ‘readerly’ texts do), but a producer of the text.
Roland Barthes|The destination of a text cannot any longer be personal: the reader is without history, biography, psychology.
Roland Barthes|The text itself plays and the reader plays twice over; playing the Text as one plays a game, but also playing it in the musical sense of the term.
Roland Barthes|The pleasure of the work remains a pleasure of consumption; as for the Text, it is bound to jouissance, that is to a pleasure without separation.
Roland Barthes|Historically, the reign of the Author has also been that of the Critic; criticism is today undermined along with the Author.
Peter Geach|Propositions must be distinguished from assertions: a predicate may be attached to a subject in a subordinate clause.
Peter Geach|Names and predicables differ from each other: a name has a complete sense, a predicable does not, containing an empty place to be filled by a subject.
Peter Geach|Not only proper names but also common nouns can occur as the subjects of sentences; we may tell a story switching between “Jemima” and “the cat”.
Peter Geach|There is no such thing as absolute identity (without some general term): A and B may be the same F, but not the same G.
Peter Geach|There is no such thing as being just good or bad, there is only being a good or bad so-and-so; ‘good’ and ‘bad’ are attributive, not predicative.
Peter Geach|Sentences expressing moral judgments can be embedded in semantically complex sentences in a way that a noncognitivist cannot explain.
Peter Geach|An ought thesis can follow logically from factual premises together with a vacuous deontic premise.
Peter Geach|A mental state cannot be defined as a disposition for a behavior without referring to the other mental states (beliefs, desires) of the agent.
Peter Geach|The intentional modes of description needed for human activities are logically not derivable from natural science.
Peter Geach|Humans have distinctive mental capacities (e.g. rationality) that cannot be explained by Darwinian processes; they are miraculously created.
Peter Geach|Materialists (“We think with the brain”) and immaterialists (“We think with some non bodily part”) are both wrong: there is no such thing as an organ of thought.
Peter Geach|The one reality, the divine creation ultimately rooted in God himself is the ultimate truthmaker; God is Truth.
Peter Geach|God is not omnipotent but rather he is almighty: he has power over all things.
Peter Geach|There is no future there for God to see: he knows the future not by seeing it but by controlling it.
Peter Geach|Sympathy with animal suffering would not be a virtue in God: it is a virtue in humans only because we share an animal nature.
Elizabeth Anscombe|Since no mistake of reference is possible for ‘I’, it cannot be a referring expression at all; it is a word with a use but no reference.
Elizabeth Anscombe|Any causal law linking a cause with an effect will have to be of the form “If C then E, other things being equal” – very often other things are not equal.
Elizabeth Anscombe|We can know that one thing caused another without knowing any true law involving a necessary connection between events of general types.
Elizabeth Anscombe|Actions are identified and understood by reference to the intentions with which they were performed.
Elizabeth Anscombe|The ‘practical knowledge’ of action is different from the ‘contemplative’ knowledge of science.
Elizabeth Anscombe|Unintentional causes of action (‘mental causes’) are not reasons for action.
Elizabeth Anscombe|The intention is not a cause: causes are distinct from their effects, whereas intentional actions are not distinct from the intentions they embody.
Elizabeth Anscombe|We know what we are doing because we know our intentions, and we do not have to look and see what we are doing to have this knowledge.
Elizabeth Anscombe|There are objects of perception in both a material and an intentional sense; idealism and ordinary language philosophy (direct realism) conflate them.
Elizabeth Anscombe|Thinking of morality as a set of rules prescribing what we “ought” to do presupposes a religious conception about what is “owed” to God.
Elizabeth Anscombe|A secular culture should construct a new morality based on our understanding of particular virtues and vices.
Elizabeth Anscombe|A secular morality requires a new philosophy of mind which will break with the old ways of thinking about the roles of beliefs and desires in explaining action.
Elizabeth Anscombe|Getting one another to do things without the application of physical force – through institutions like promising – is a necessity for human life.
Elizabeth Anscombe|The practice of the virtues should connect with a potentiality for ‘human flourishing’.
Elizabeth Anscombe|Actions can be bad and can be known to be bad without observing them or their results.
Elizabeth Anscombe|Utilitarianism cannot sustain any strict prohibitions because it cannot distinguish between intended and merely foreseen consequences.
Elizabeth Anscombe|Masturbation, sex with contraception, and gay sex are abuses of the sexual organs that can never lead to procreation – an insult to life itself.
Peter Winch|Intention and action are not distinct existences; reasons are not causes.
Peter Winch|The relationship between an action and a reason does not have to be the same every time and for every agent, unlike a causal relationship.
Peter Winch|The study of society is about the logical relationships between the beliefs and intentions, and the rules of social institutions.
Peter Winch|Social studies are not causal inquiries; there cannot be a social science.
Donald Davidson|The truth-conditions of a sentence provide its meaning: someone who knows under what conditions a sentence would be true understands that sentence.
Donald Davidson|We get to meaning by interpreting others, by presuming that their beliefs are largely true and that they are generally rational.
Donald Davidson|Language isn’t a network of social conventions; there are just the general grammatical capacities and individual communicative strategies.
Donald Davidson|There is an autonomy of meaning whereby speakers can distance themselves from the literal meaning of their words (jokes, irony, etc.).
Donald Davidson|Languages provide ways of thinking about and expressing truths about this world, so they are translatable.
Donald Davidson|One cannot be a thinker at all unless one has beliefs.
Donald Davidson|One cannot have a belief unless one recognizes that one might be in error.
Donald Davidson|It is only through seeing others’ errors that one can understand the possibility of being in error oneself.
Donald Davidson|A creature cannot have thoughts unless it is an interpreter of the speech of another; “no thought without talk.”
Donald Davidson|A new replica of me could not be said to have thoughts or meaningful words, without the causal history to establish the connections between itself and the world.
Donald Davidson|The relation between a sensation and a belief cannot be logical, since sensations are not beliefs or other propositional attitudes; the relation is causal.
Donald Davidson|At least some mental events interact causally with physical events.
Donald Davidson|Where there is causality, there must be a law: events related as cause and effect fall under strict deterministic laws.
Donald Davidson|Mental concepts, insofar as they involve propositional attitudes partly identified by their logical relations, are normative; physical concepts are not.
Donald Davidson|Mental entities are neither definitionally nor nomologically reducible to the vocabulary of physics; there are no strict (‘homonomic’) psychophysical laws.
Donald Davidson|Mental events (taken as unrepeatable, dated individuals) are identical with physical events.
Donald Davidson|Reasons and actions are in causal relationships in their physical states but these relationships cannot be subsumed under law.
Donald Davidson|Mental characteristics ‘supervene’ on physical characteristics: there cannot be two events alike in all physical respects but differing in mental respects.
Donald Davidson|Facts really are the true statements themselves; facts are not named by them.
Abraham Irving Melden|The relation between the wanting to do and the doing is logical (conceptual, a priori), so it cannot be a causal one.
Abraham Irving Melden|Actions cannot be causally determined; the free will debate should not arise at all.
John Jamieson Carswell Smart|The passage of time is an illusion: if it really passed, then we could ask at what rate it passes, but this requires a second time-dimension, and so on.
John Jamieson Carswell Smart|The universe is a four-dimensional space-time manifold; present, past and future are all equally real.
John Jamieson Carswell Smart|If the phenomenalist about theoretical entities is correct, we must believe in cosmic coincidence in our successful scientific predictions.
John Jamieson Carswell Smart|States and processes of the mind are identical to states and processes of the brain.
John Jamieson Carswell Smart|A person can talk about their sensations without knowing about their brain processes, just as they can talk about lightning without knowing anything of electricity.
John Jamieson Carswell Smart|“I have a yellowish-orange after-image” only means “There is something going on which is like what is going on when I see an orange”.
John Jamieson Carswell Smart|The apparent features of experience are not genuine properties “in the mind” or “in the world” but only the contents of mental representations.
John Jamieson Carswell Smart|Neither determinism nor pure chance leaves room for free will and moral responsibility, and there is no third possibility.
John Jamieson Carswell Smart|The metaphysical question of determinism is quite irrevelant to the rationality of our (pragmatic) ascription of responsibility.
John Jamieson Carswell Smart|The rightness of individual actions is to be judged by their particular consequences; general rules, like “keep promises”, are mere rules of thumb.
John Jamieson Carswell Smart|Obeying rules where we know that to break them will have better results is a form of superstitious rule-worship.
John Jamieson Carswell Smart|We do not want to obtain our pleasures by operating electrodes stimulating the pleasure centers in our brains; we want to achieve things.
Richard Hare|Ethics is the logical study of the language of morals.
Richard Hare|There can be no ethical difference between two possible states of affairs or actions without there being some natural difference between them.
Richard Hare|There is a logical distinction between facts and values; morality is ‘prescriptive’ and is not a domain of moral facts to be ‘described’.
Richard Hare|Value-terms have a special function in language, that of commending; they cannot be defined in terms of other words which do not perform this function.
Richard Hare|Moral imperatives are instances of principles that we are prepared to universalize.
Richard Hare|Actions are right if they maximize the satisfaction of preferences or desires, no matter what the preferences may be for.
Richard Hare|Imaginative identification with others reveals principles that provide the best ways of fulfilling the preferences of all those who might be affected.
John Mackie|If there were objective values, they would be very strange things, utterly different from anything else in the universe; they are metaphysically queer.
John Mackie|If there were objective values, our awareness of them would require a strange kind of special faculty; they are epistemologically queer.
John Mackie|The variations of moral codes and beliefs imply that they reflect ways of life, not that they express perceptions of objective values.
John Mackie|Although most people making moral judgments implicitly claim to be pointing to something objectively prescriptive, these claims are all false.
John Mackie|The final stage of the universalization of moral judgements, taking account of different tastes and rival ideals, is logically impossible.
John Mackie|A logical or semantic truth is no real constraint on belief, action, prescription, or choice of policy.
John Mackie|The utilitarian calculus is an unhelpful myth; there is no such common measure of all interests and purposes as happiness or utility is supposed to be.
John Mackie|Concrete moral issues can be argued out without appeal to any mythical objective values or obligations, or to a fictitious unitary measurable happiness.
John Mackie|Morality is not to be discovered but to be made and maintained (and in part remade as time passes); we have to decide what moral views to adopt.
John Mackie|Our evolved moral sentiments and dispositions, and more formal rules along with politico-legal devices are complementary parts of the device of morality.
John Mackie|Socially established – and socially necessary – patterns of behaviour are ‘objectified’ into moral values to put pressure on individuals.
John Mackie|Egoism and self-referential altruism (concern for others who have some special connection with oneself) form a central part of the good life.
John Mackie|A virtue is a disposition which is usually advantageous for its possessor and which harmonizes with knowledge, with seeing things as they are.
John Mackie|The idea of a non-empirical free self that is not caused by one’s character, desires, etc. is incoherent; we shouldn’t base our concept of freedom on it.
John Mackie|An agent is responsible for all and only their intentional actions; even if determinism holds, the moral principles will still have their points.
John Mackie|A cause is an insufficient but necessary (non-redundant) part of an unnecessary but sufficient (‘INUS’) condition for the effect.
John Mackie|There could not be logically contingent states of affairs, prior to the creation of free beings, which an omnipotent god would have to accept.
John Mackie|The propositions that a good omnipotent thing exists, and that evil exists, are logically incompatible.
Philippa Foot|If an action is in our interests, we have reason to do it, and the virtues are always in one’s interest.
Philippa Foot|The “categorical” commands of morality are like those of etiquette: one can rationally ignore them, lacking the purpose of being moral.
Philippa Foot|Quite apart from thoughts of duty a person may care about the suffering of others, having a sense of identification with them and wanting to help.
Philippa Foot|It is sometimes permissible to bring about a bad result that one foresees as a consequence of one’s action but does not directly intend. (double effect)
Philippa Foot|There is a moral distinction between doing and allowing; we may not steal someone’s property, yet we may not be required to secure their possession of it.
Philippa Foot|It is impermissible to kill (to initiate a causal sequence that kills) one person to save another; the negative rights have priority over the positive rights.
Philippa Foot|In the Trolley Problem (killing one vs. five people), it is preferable for the driver to minimize the violation of negative rights by turning the trolley.
Philippa Foot|The distinction between avoiding injury and bringing aid seems more important than the ones between direct-indirect intention or between doing-allowing.
Philippa Foot|Virtue is a disposition of the will: good intentions are not sufficient, we must take the trouble to cultivate the desire to act well.
Philippa Foot|The virtues are needed for humans as a corrective to general human characteristics that make it difficult for us to act well.
Philippa Foot|Imperatives with no relevance to human interests do not become moral requirements simply by being universally prescribed.
Philippa Foot|Description and prescription are not separate in morality; value-judgements enter into descriptions.
Philippa Foot|There are objective and natural features of living things that make them good as members of their species; moral goodness is one of them for us.
Philippa Foot|Evaluations of human will and action share a conceptual structure with evaluations of characteristics and operations of other living things.
Philippa Foot|Evaluations of human will and action should be determined – just like those of human sight, hearing, etc. – by facts about the nature of our species.
Philippa Foot|Mere pleasure or contentment is not identical with human good: objects of deep happiness (home, family, work, friendship, etc.) must be taken into account.
Philippa Foot|Moral action is rational action and goodness is a necessary condition of practical rationality.
Philippa Foot|To ask for a reason for acting rationally (and thus morally) is to ask for a reason where reasons must a priori have come to an end.
Philippa Foot|Virtues can be described in terms of practical rationality: the recognition of reasons for acting determined by general facts about human beings.
Philippa Foot|Moral considerations are on par with other sets of considerations (self-interest, desire-fulfillment, etc.) that generate reasons; one must weigh them all.
John Rawls|Moral and political philosophy have no place for a rigid analytic/synthetic distinction.
John Rawls|If the plurality of persons with separate ends is an essential feature of societies, the principles of social choice cannot be utilitarian.
John Rawls|The construction of justice is guided by our recognition of a range of primary, fundamental goods.
John Rawls|Primary goods: basic rights and liberties, freedom of movement and choice, powers and positions of responsibility, income and wealth, the social bases of self-respect.
John Rawls|The principles of justice should be chosen from an ‘original position’ of equality without knowing our position in society, behind a ‘veil of ignorance’.
John Rawls|Each person is to have an equal right to the most extensive total system of equal basic liberties compatible with a similar system of liberty for all.
John Rawls|Social and economic inequalities are to be arranged so that they are attached to offices and positions open to all under conditions of fair equality of opportunity.
John Rawls|Social and economic inequalities are to be arranged so that they are to the greatest benefit of the least advantaged. (‘difference principle’)
John Rawls|Inequalities in income and wealth could be accepted when these work effectively to improve everyone’s situation starting from equal division.
John Rawls|All reasonable (or decent) persons would construct political ideals that benefit all liberal peoples. (‘overlapping consensus’)
John Rawls|The policies constructed by liberal peoples should direct non-liberal societies to (ideally) all become liberal.
John Rawls|While liberal societies should attempt to tolerate illiberal societies initially, an outlaw state eventually subjects itself to sanctions and intervention.
John Rawls|While citizens may have religious reasons that favor a policy, they must eventually “translate” these reasons into terms that non-believers could accept.
Frank Sibley|Aesthetic properties are only perceived; they cannot be reasoned from lists of non-aesthetic properties – they are not condition-governed.
Frank Sibley|We experience things aesthetically when we exercise our taste – special perceptiveness, sensitivity, or powers of discrimination.
Frank Sibley|Agreement (convergence) among people with taste constitutes the basis from which objective standards can be generated in aesthetic cases.
Thomas Kuhn|Logic and observation are not enough to define scientific reasoning; we must look at its history and at scientists themselves.
Thomas Kuhn|Sciences alternate between periods of ‘normal science’ (‘puzzle-solving’) and periods of ‘crisis’ followed by ‘revolution’.
Thomas Kuhn|It’s only when a paradigm is established that empirical underdetermination is solved and normal science is possible.
Thomas Kuhn|The paradigms eventually use up their capacity to solve empirical puzzles, and are replaced by new paradigms.
Thomas Kuhn|A new paradigm is ‘incommensurable’ with the old one; there is no uncontested evidence and shared nomenclature to choose one.
Thomas Kuhn|A procedure of judgement by the scientific community is required for paradigm-choice.
Thomas Kuhn|If any and every failure to fit the facts were ground for theory rejection, all theories ought to be rejected at all times.
Thomas Kuhn|There is no precise answer to the question how well a theory fits the facts, but we can ask which of two competing theories fits the facts better.
Thomas Kuhn|Falsification consists in the triumph of a new paradigm; it might equally well be called verification.
Thomas Kuhn|The immediate experience of a scientist is also paradigm-embodied: they see a pendulum when they look at a swinging stone.
